Saat,Mesaj Sayısı
0,12
1,5
2,3
3,2
4,1
5,4
6,10
7,20
8,34
9,50
10,48
11,40
12,39
13,42
14,45
15,41
16,30
17,25
18,18
19,10
20,8
21,6
22,4
23,3
